CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LATracts1,LATracts10,LAPOP1_10,LALOWI1_10,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
27001770100,Minnesota,Aitkin County,0,2327,1080,0,5,0.21,1,0,1,12.5,57813,1,0,1,1047,360,2320,99.70,788,33.88,345,14.81,667,28.67,2248,96.60,3,0.13,4,0.17,1,0.04,45,1.93,19,0.82,16,0.69,42,3.92,60,5.54,1047,45.01,360,15.49,129,5.56,331,14.23,1018,43.76,2,0.09,2,0.08,1,0.04,20,0.86,4,0.17,4,0.15,20,1.82,28,2.62,772,347,668,2255,3,4,1,45,19,16,44,62
27001770200,Minnesota,Aitkin County,0,2336,995,0,11,0.47,1,0,1,11.3,63073,1,0,1,2286,769,2336,100.00,785,33.60,519,22.22,467,19.99,2231,95.51,18,0.77,2,0.09,0,0.00,37,1.58,48,2.05,26,1.11,28,2.80,164,16.53,2286,97.84,769,32.92,512,21.92,452,19.35,2183,93.43,18,0.77,2,0.09,0,0.00,37,1.58,46,1.97,26,1.11,27,2.74,160,16.11,741,519,467,2231,18,2,0,37,48,26,33,184
27001770300,Minnesota,Aitkin County,0,3268,1390,0,240,7.34,0,1,1,17.9,47466,0,0,0,NULL,NULL,1922,58.82,866,26.50,429,13.13,524,16.03,1860,56.92,5,0.15,4,0.13,0,0.00,15,0.45,38,1.17,27,0.84,93,6.67,149,10.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1413,724,830,3149,19,7,1,37,55,46,181,278
27001770400,Minnesota,Aitkin County,0,3052,1424,0,0,0.00,1,0,1,15.5,53309,1,0,1,768,237,2653,86.94,989,32.40,439,14.39,712,23.33,2379,77.94,2,0.07,5,0.16,0,0.00,218,7.13,50,1.64,34,1.11,64,4.48,153,10.74,768,25.18,237,7.78,101,3.29,206,6.74,739,24.22,2,0.06,3,0.09,0,0.00,11,0.36,13,0.44,6,0.19,12,0.85,46,3.22,1208,530,803,2758,3,5,0,233,53,36,88,184
27001790501,Minnesota,Aitkin County,0,1957,916,0,11,0.56,1,0,1,11.4,54821,1,0,1,1273,448,1957,100.00,686,35.05,297,15.18,613,31.32,1913,97.75,4,0.20,1,0.05,1,0.05,19,0.97,19,0.97,14,0.72,37,4.09,58,6.35,1273,65.07,448,22.88,167,8.51,457,23.33,1244,63.58,3,0.15,1,0.05,1,0.05,9,0.44,16,0.79,6,0.32,26,2.83,40,4.32,662,297,613,1913,4,1,1,19,19,14,38,58
27001790502,Minnesota,Aitkin County,0,3262,1494,0,7,0.21,0,0,1,7.6,63287,0,0,0,102,23,3250,99.63,886,27.17,499,15.28,1029,31.54,3176,97.36,10,0.31,8,0.25,1,0.03,19,0.58,36,1.10,13,0.40,52,3.47,81,5.43,102,3.12,23,0.69,12,0.37,45,1.37,92,2.84,0,0.00,0,0.00,0,0.00,3,0.09,6,0.20,1,0.04,1,0.04,3,0.19,818,501,1032,3188,10,8,1,19,36,13,52,83
27003050107,Minnesota,Anoka County,0,2934,1014,0,0,0.00,0,0,0,4.4,78750,0,0,0,NULL,NULL,970,33.08,218,7.42,281,9.56,59,2.03,950,32.36,2,0.06,5,0.17,0,0.00,6,0.20,8,0.28,4,0.13,2,0.15,15,1.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,620,910,199,2836,9,15,0,15,59,25,5,50
27003050108,Minnesota,Anoka County,0,4750,1680,0,0,0.00,0,0,0,8.4,83355,0,0,0,NULL,NULL,3044,64.09,476,10.02,946,19.91,199,4.19,2909,61.24,23,0.48,24,0.50,3,0.06,10,0.21,76,1.60,50,1.06,8,0.49,129,7.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,971,1486,300,4528,40,43,4,17,118,89,10,208
27003050109,Minnesota,Anoka County,0,5202,1770,0,4,0.08,0,0,0,4.7,98500,0,0,0,NULL,NULL,5202,100.00,640,12.30,1428,27.45,315,6.06,5000,96.12,22,0.42,73,1.40,1,0.02,28,0.54,78,1.50,51,0.98,36,2.03,33,1.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,655,1428,315,5000,22,73,1,28,78,51,37,34
27003050110,Minnesota,Anoka County,0,2715,967,0,0,0.00,0,0,0,3.3,100682,0,0,0,NULL,NULL,2715,100.00,349,12.84,673,24.79,161,5.93,2592,95.47,9,0.33,56,2.06,1,0.04,11,0.41,46,1.69,31,1.14,16,1.67,61,6.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,340,673,161,2592,9,56,1,11,46,31,16,62
